시군명,정류소명,정류소id,위도,경도,최근접CCTV거리_m
의왕시,휴먼시아3단지,226000213,37.39255,126.9989667,450.27973058386056
의왕시,학의JC(경유),277103157,37.3875833,127.0018,455.379403669077
의왕시,동아에코빌아파트,226000059,37.3913667,126.9819,456.5442980245081
의왕시,삼호2차아파트,226000358,37.3175833,126.9555,458.6896591198954
의왕시,학의JC(경유),277103159,37.38705,127.0015833,459.74411020954756
의왕시,삼호2차아파트,226000365,37.3176167,126.9554,462.631598214908
의왕시,삼천리자전거,226000394,37.3571667,126.9614833,463.8378968851973
의왕시,의왕통합관제센터,226000187,37.3507667,126.9684167,477.2287691961815
의왕시,민들레베스파트.우성고,226000067,37.34955,126.97905,487.2209775100973
의왕시,벌말초교.한일나래,226000132,37.39285,126.9808833,487.23309913247135
의왕시,의왕통합관제센터,226000179,37.3507667,126.9682833,488.4342596811889
의왕시,오전동주민센터,226000047,37.3533333,126.9709,494.3099581559766
의왕시,의왕소방서.솔거원효아파트,226000182,37.3438833,126.9767,495.91617136532426
의왕시,양지편.청계성당,226000119,37.39065,126.99175,496.9472514130568
의왕시,월암마을회관,226000351,37.3077833,126.9599833,499.874864703035
의왕시,보훈회관.무궁화선경아파트,226000320,37.3503667,126.9791,502.67785543854984
의왕시,영광빌라사거리,226000364,37.3172333,126.9539333,505.0430251186679
의왕시,휴먼시아5단지,226000216,37.3915333,127.0015333,506.73734708589035
의왕시,의왕통합관제센터,226000180,37.3505167,126.9679667,507.71802766302454
의왕시,삼천리자전거,226000395,37.3567833,126.9611833,507.9024163878837
의왕시,영광빌라사거리,226000359,37.3173333,126.9539833,510.3823508964522
의왕시,벌말초교.한일나래,226000133,37.3927833,126.9806167,511.60622611285584
의왕시,월암마을회관,226000350,37.3078833,126.9598833,511.6821261866512
의왕시,모락고등학교,226000211,37.3701,126.9662167,516.0218427229157
의왕시,새마을금고.해병전우회,226000313,37.3211333,126.9518333,517.7690111179091
의왕시,원효충무아파트,226000005,37.3457333,126.9771333,518.0955163813995
의왕시,능안입구,226000263,37.3783167,126.99925,519.4971202669993
의왕시,양지편.청계성당,226000116,37.3904833,126.9913,526.8971885695267
의왕시,민들레베스파트.우성고,226000031,37.3499167,126.9794833,528.2460293963131
의왕시,무궁화선경아파트,226000025,37.3505667,126.9793833,532.0956618000407
의왕시,새마을금고.해병전우회,226000314,37.321,126.9516667,533.3939142546934
