위도,경도,유형,위험도점수,cctv_coverage_m,bus_influence_m,nearest_cctv_m,근거,crs,latitude,longitude,x,y,epsg,wkt
37.3575333,126.9689667,정류소,,,150.0,308.0581171166056,버스정류장 150m 내 CCTV 없음,WGS84,37.3575333,126.9689667,126.9689667,37.3575333,EPSG:4326,POINT (126.9689667 37.3575333)
37.3292833,126.9530833,정류소,,,150.0,549.8927630730417,버스정류장 150m 내 CCTV 없음,WGS84,37.3292833,126.9530833,126.9530833,37.3292833,EPSG:4326,POINT (126.9530833 37.3292833)
37.3292667,126.9527,정류소,,,150.0,573.5191106957434,버스정류장 150m 내 CCTV 없음,WGS84,37.3292667,126.9527,126.9527,37.3292667,EPSG:4326,POINT (126.9527 37.3292667)
37.3175333,126.9503167,정류소,,,150.0,775.4142804915411,버스정류장 150m 내 CCTV 없음,WGS84,37.3175333,126.9503167,126.9503167,37.3175333,EPSG:4326,POINT (126.9503167 37.3175333)
37.3174667,126.9502,정류소,,,150.0,780.4141143288444,버스정류장 150m 내 CCTV 없음,WGS84,37.3174667,126.9502,126.9502,37.3174667,EPSG:4326,POINT (126.9502 37.3174667)
37.3839333,126.9787667,정류소,,,150.0,1253.291244748009,버스정류장 150m 내 CCTV 없음,WGS84,37.3839333,126.9787667,126.9787667,37.3839333,EPSG:4326,POINT (126.9787667 37.3839333)
37.3883333,126.9805,정류소,,,150.0,769.2690463073301,버스정류장 150m 내 CCTV 없음,WGS84,37.3883333,126.9805,126.9805,37.3883333,EPSG:4326,POINT (126.9805 37.3883333)
37.3882167,126.9807167,정류소,,,150.0,766.3720761399859,버스정류장 150m 내 CCTV 없음,WGS84,37.3882167,126.9807167,126.9807167,37.3882167,EPSG:4326,POINT (126.9807167 37.3882167)
37.3833,126.9776167,정류소,,,150.0,1367.9491478542438,버스정류장 150m 내 CCTV 없음,WGS84,37.3833,126.9776167,126.9776167,37.3833,EPSG:4326,POINT (126.9776167 37.3833)
37.3832667,126.9778833,정류소,,,150.0,1357.9016645579677,버스정류장 150m 내 CCTV 없음,WGS84,37.3832667,126.9778833,126.9778833,37.3832667,EPSG:4326,POINT (126.9778833 37.3832667)
37.3908,126.9805167,정류소,,,150.0,593.8556851583792,버스정류장 150m 내 CCTV 없음,WGS84,37.3908,126.9805167,126.9805167,37.3908,EPSG:4326,POINT (126.9805167 37.3908)
37.3776333,126.972,정류소,,,150.0,1426.4920709026587,버스정류장 150m 내 CCTV 없음,WGS84,37.3776333,126.972,126.972,37.3776333,EPSG:4326,POINT (126.972 37.3776333)
37.3888167,126.98245,정류소,,,150.0,620.5925868009699,버스정류장 150m 내 CCTV 없음,WGS84,37.3888167,126.98245,126.98245,37.3888167,EPSG:4326,POINT (126.98245 37.3888167)
37.3891167,126.9823167,정류소,,,150.0,600.0265227487896,버스정류장 150m 내 CCTV 없음,WGS84,37.3891167,126.9823167,126.9823167,37.3891167,EPSG:4326,POINT (126.9823167 37.3891167)
37.3846167,126.9727667,정류소,,,150.0,1551.2099746813471,버스정류장 150m 내 CCTV 없음,WGS84,37.3846167,126.9727667,126.9727667,37.3846167,EPSG:4326,POINT (126.9727667 37.3846167)
37.3885,126.9745333,정류소,,,150.0,1180.340903987964,버스정류장 150m 내 CCTV 없음,WGS84,37.3885,126.9745333,126.9745333,37.3885,EPSG:4326,POINT (126.9745333 37.3885)
37.3883,126.9745333,정류소,,,150.0,1190.8990214868493,버스정류장 150m 내 CCTV 없음,WGS84,37.3883,126.9745333,126.9745333,37.3883,EPSG:4326,POINT (126.9745333 37.3883)
37.3727667,126.9967833,정류소,,,150.0,1156.2750846369845,버스정류장 150m 내 CCTV 없음,WGS84,37.3727667,126.9967833,126.9967833,37.3727667,EPSG:4326,POINT (126.9967833 37.3727667)
37.3730333,126.9972,정류소,,,150.0,1120.7931399956346,버스정류장 150m 내 CCTV 없음,WGS84,37.3730333,126.9972,126.9972,37.3730333,EPSG:4326,POINT (126.9972 37.3730333)
37.3781167,126.9989667,정류소,,,150.0,542.0562652888042,버스정류장 150m 내 CCTV 없음,WGS84,37.3781167,126.9989667,126.9989667,37.3781167,EPSG:4326,POINT (126.9989667 37.3781167)
37.3783167,126.99925,정류소,,,150.0,519.4971202669993,버스정류장 150m 내 CCTV 없음,WGS84,37.3783167,126.99925,126.99925,37.3783167,EPSG:4326,POINT (126.99925 37.3783167)
37.3896167,126.9814333,정류소,,,150.0,609.1260880313864,버스정류장 150m 내 CCTV 없음,WGS84,37.3896167,126.9814333,126.9814333,37.3896167,EPSG:4326,POINT (126.9814333 37.3896167)
37.3863333,126.9784167,정류소,,,150.0,1057.7399294857028,버스정류장 150m 내 CCTV 없음,WGS84,37.3863333,126.9784167,126.9784167,37.3863333,EPSG:4326,POINT (126.9784167 37.3863333)
37.38605,126.9784333,정류소,,,150.0,1080.598627631353,버스정류장 150m 내 CCTV 없음,WGS84,37.38605,126.9784333,126.9784333,37.38605,EPSG:4326,POINT (126.9784333 37.38605)
37.36095,126.9668333,정류소,,,150.0,212.39925226387297,버스정류장 150m 내 CCTV 없음,WGS84,37.36095,126.9668333,126.9668333,37.36095,EPSG:4326,POINT (126.9668333 37.36095)
37.36095,126.9667,정류소,,,150.0,209.18364220991495,버스정류장 150m 내 CCTV 없음,WGS84,37.36095,126.9667,126.9667,37.36095,EPSG:4326,POINT (126.9667 37.36095)
37.3608833,126.9676833,정류소,,,150.0,239.44685468060416,버스정류장 150m 내 CCTV 없음,WGS84,37.3608833,126.9676833,126.9676833,37.3608833,EPSG:4326,POINT (126.9676833 37.3608833)
37.3228667,126.95505,정류소,,,150.0,286.69172611117045,버스정류장 150m 내 CCTV 없음,WGS84,37.3228667,126.95505,126.95505,37.3228667,EPSG:4326,POINT (126.95505 37.3228667)
37.3227667,126.95515,정류소,,,150.0,273.04683817094894,버스정류장 150m 내 CCTV 없음,WGS84,37.3227667,126.95515,126.95515,37.3227667,EPSG:4326,POINT (126.95515 37.3227667)
37.37665,126.9705833,정류소,,,150.0,1285.4579555089676,버스정류장 150m 내 CCTV 없음,WGS84,37.37665,126.9705833,126.9705833,37.37665,EPSG:4326,POINT (126.9705833 37.37665)
