시군명,정류소명,정류소id,위도,경도,crs,source_file,latitude,longitude,x,y,epsg,wkt
의왕시,대림아파트5단지,226000061,37.38605,126.9784333,WGS84,자료/버스정류소현황.xls,37.38605,126.9784333,126.9784333,37.38605,EPSG:4326,POINT (126.9784333 37.38605)
의왕시,대명단지,226000220,37.36095,126.9668333,WGS84,자료/버스정류소현황.xls,37.36095,126.9668333,126.9668333,37.36095,EPSG:4326,POINT (126.9668333 37.36095)
의왕시,대명단지,226000221,37.36095,126.9667,WGS84,자료/버스정류소현황.xls,37.36095,126.9667,126.9667,37.36095,EPSG:4326,POINT (126.9667 37.36095)
의왕시,대명아파트.경기중앙교회,226000110,37.3608833,126.9676833,WGS84,자료/버스정류소현황.xls,37.3608833,126.9676833,126.9676833,37.3608833,EPSG:4326,POINT (126.9676833 37.3608833)
의왕시,대우.장미아파트,226000311,37.3228667,126.95505,WGS84,자료/버스정류소현황.xls,37.3228667,126.95505,126.95505,37.3228667,EPSG:4326,POINT (126.95505 37.3228667)
의왕시,대우.장미아파트,226000312,37.3227667,126.95515,WGS84,자료/버스정류소현황.xls,37.3227667,126.95515,126.95515,37.3227667,EPSG:4326,POINT (126.95515 37.3227667)
의왕시,대원아파트,226000126,37.37665,126.9705833,WGS84,자료/버스정류소현황.xls,37.37665,126.9705833,126.9705833,37.37665,EPSG:4326,POINT (126.9705833 37.37665)
의왕시,대원아파트,226000066,37.3763667,126.9706667,WGS84,자료/버스정류소현황.xls,37.3763667,126.9706667,126.9706667,37.3763667,EPSG:4326,POINT (126.9706667 37.3763667)
의왕시,덕장교회,226000197,37.3902333,126.9943833,WGS84,자료/버스정류소현황.xls,37.3902333,126.9943833,126.9943833,37.3902333,EPSG:4326,POINT (126.9943833 37.3902333)
의왕시,덕장초교,226000212,37.3912333,126.9965333,WGS84,자료/버스정류소현황.xls,37.3912333,126.9965333,126.9965333,37.3912333,EPSG:4326,POINT (126.9965333 37.3912333)
의왕시,덕장초교,226000171,37.3913667,126.9962167,WGS84,자료/버스정류소현황.xls,37.3913667,126.9962167,126.9962167,37.3913667,EPSG:4326,POINT (126.9962167 37.3913667)
의왕시,도룡마을,226000105,37.3103,126.95815,WGS84,자료/버스정류소현황.xls,37.3103,126.95815,126.95815,37.3103,EPSG:4326,POINT (126.95815 37.3103)
의왕시,도룡마을,226000074,37.3101833,126.95785,WGS84,자료/버스정류소현황.xls,37.3101833,126.95785,126.95785,37.3101833,EPSG:4326,POINT (126.95785 37.3101833)
의왕시,동아에코빌아파트,226000059,37.3913667,126.9819,WGS84,자료/버스정류소현황.xls,37.3913667,126.9819,126.9819,37.3913667,EPSG:4326,POINT (126.9819 37.3913667)
의왕시,동아에코빌아파트,226000054,37.3917167,126.9820167,WGS84,자료/버스정류소현황.xls,37.3917167,126.9820167,126.9820167,37.3917167,EPSG:4326,POINT (126.9820167 37.3917167)
의왕시,두산위브,226000346,37.39085,126.97995,WGS84,자료/버스정류소현황.xls,37.39085,126.97995,126.97995,37.39085,EPSG:4326,POINT (126.97995 37.39085)
의왕시,뒷골,226000330,37.3580667,126.9917333,WGS84,자료/버스정류소현황.xls,37.3580667,126.9917333,126.9917333,37.3580667,EPSG:4326,POINT (126.9917333 37.3580667)
의왕시,뒷골,226000336,37.3579667,126.9921,WGS84,자료/버스정류소현황.xls,37.3579667,126.9921,126.9921,37.3579667,EPSG:4326,POINT (126.9921 37.3579667)
의왕시,뒷골,226000329,37.35835,126.99205,WGS84,자료/버스정류소현황.xls,37.35835,126.99205,126.99205,37.35835,EPSG:4326,POINT (126.99205 37.35835)
의왕시,롯데마트,226000340,37.3800833,126.9729333,WGS84,자료/버스정류소현황.xls,37.3800833,126.9729333,126.9729333,37.3800833,EPSG:4326,POINT (126.9729333 37.3800833)
의왕시,롯데첨단소재,226000036,37.3514333,126.9641,WGS84,자료/버스정류소현황.xls,37.3514333,126.9641,126.9641,37.3514333,EPSG:4326,POINT (126.9641 37.3514333)
의왕시,롯데첨단소재,226000028,37.3517333,126.9638333,WGS84,자료/버스정류소현황.xls,37.3517333,126.9638333,126.9638333,37.3517333,EPSG:4326,POINT (126.9638333 37.3517333)
의왕시,모락고등학교,226000211,37.3701,126.9662167,WGS84,자료/버스정류소현황.xls,37.3701,126.9662167,126.9662167,37.3701,EPSG:4326,POINT (126.9662167 37.3701)
의왕시,모락산안골식당,226509050,37.3711667,126.9882167,WGS84,자료/버스정류소현황.xls,37.3711667,126.9882167,126.9882167,37.3711667,EPSG:4326,POINT (126.9882167 37.3711667)
의왕시,모락산현대아파트,226000242,37.36035,126.9682667,WGS84,자료/버스정류소현황.xls,37.36035,126.9682667,126.9682667,37.36035,EPSG:4326,POINT (126.9682667 37.36035)
의왕시,모락산현대아파트,226000243,37.3605,126.9683333,WGS84,자료/버스정류소현황.xls,37.3605,126.9683333,126.9683333,37.3605,EPSG:4326,POINT (126.9683333 37.3605)
의왕시,무궁화선경아파트,226000025,37.3505667,126.9793833,WGS84,자료/버스정류소현황.xls,37.3505667,126.9793833,126.9793833,37.3505667,EPSG:4326,POINT (126.9793833 37.3505667)
의왕시,미주아파트,226000309,37.32355,126.9563667,WGS84,자료/버스정류소현황.xls,37.32355,126.9563667,126.9563667,37.32355,EPSG:4326,POINT (126.9563667 37.32355)
의왕시,미주아파트,226000310,37.3237333,126.9564333,WGS84,자료/버스정류소현황.xls,37.3237333,126.9564333,126.9564333,37.3237333,EPSG:4326,POINT (126.9564333 37.3237333)
의왕시,민들레베스파트.우성고,226000067,37.34955,126.97905,WGS84,자료/버스정류소현황.xls,37.34955,126.97905,126.97905,37.34955,EPSG:4326,POINT (126.97905 37.34955)
의왕시,민들레베스파트.우성고,226000031,37.3499167,126.9794833,WGS84,자료/버스정류소현황.xls,37.3499167,126.9794833,126.9794833,37.3499167,EPSG:4326,POINT (126.9794833 37.3499167)
의왕시,민방위교육장,226000237,37.3866167,126.9804333,WGS84,자료/버스정류소현황.xls,37.3866167,126.9804333,126.9804333,37.3866167,EPSG:4326,POINT (126.9804333 37.3866167)
의왕시,민방위교육장,226000236,37.3864833,126.9803167,WGS84,자료/버스정류소현황.xls,37.3864833,126.9803167,126.9803167,37.3864833,EPSG:4326,POINT (126.9803167 37.3864833)
의왕시,발도르프학교,226000298,37.40305,127.00845,WGS84,자료/버스정류소현황.xls,37.40305,127.00845,127.00845,37.40305,EPSG:4326,POINT (127.00845 37.40305)
의왕시,발도르프학교,226000299,37.4029833,127.00855,WGS84,자료/버스정류소현황.xls,37.4029833,127.00855,127.00855,37.4029833,EPSG:4326,POINT (127.00855 37.4029833)
의왕시,방주교회,226000219,37.3893,127.00025,WGS84,자료/버스정류소현황.xls,37.3893,127.00025,127.00025,37.3893,EPSG:4326,POINT (127.00025 37.3893)
의왕시,방주교회,226000218,37.3892667,127.0004833,WGS84,자료/버스정류소현황.xls,37.3892667,127.0004833,127.0004833,37.3892667,EPSG:4326,POINT (127.0004833 37.3892667)
