road_name,highway,segment_count,total_length_m,total_length_km
창말윗길,residential,1,230.06,0.23
월암새터마을길,service,1,223.38,0.223
백운안1길,residential,1,223.36,0.223
부곡초등2길,residential,2,218.47,0.218
월암새터마을길,unclassified,2,217.47,0.217
골잿말길,residential,1,214.02,0.214
백운로,service,2,213.25,0.213
봇들1로,residential,1,211.98,0.212
오봉산단2로,residential,1,211.96,0.212
양지편2로,residential,1,210.32,0.21
백운호수로3길,residential,1,209.62,0.21
부곡중앙남4길,residential,1,209.27,0.209
모락로,residential,2,209.22,0.209
골사그내길,living_street,1,208.02,0.208
한백이길,residential,1,205.42,0.205
부곡공원길,residential,1,204.3,0.204
행복마을4길,residential,2,203.95,0.204
백운호수로4길,residential,1,203.94,0.204
부곡중앙북1길,residential,3,198.56,0.199
당뿌리로,residential,1,193.64,0.194
청계3로,residential,1,190.43,0.19
사천1길,residential,1,189.87,0.19
한밭들2길,service,1,188.7,0.189
백운호수삼거리지하차도,tertiary,2,187.86,0.188
부곡시장4길,residential,1,187.46,0.187
봇들3길,residential,1,186.84,0.187
백운호수로1길,residential,2,185.62,0.186
등칙골3길,residential,1,182.65,0.183
백운중앙로2길,residential,1,182.34,0.182
찬우물4길,residential,1,180.86,0.181
정우3길,living_street,1,179.16,0.179
사그내2길,residential,1,178.27,0.178
장승길,residential,2,177.67,0.178
전주남이1길,residential,2,177.4,0.177
시청중심5로,residential,1,176.17,0.176
오리나무로,residential,1,173.92,0.174
부곡시장2길,residential,1,171.06,0.171
찬우물2길,residential,1,168.29,0.168
백운호수로7길,residential,1,166.92,0.167
부곡시장길,service,3,166.69,0.167
경수대로391번길,unclassified,1,165.81,0.166
내손공원1길,residential,1,164.88,0.165
민백2길,residential,1,164.25,0.164
백운초등길,residential,1,163.23,0.163
사그내3길,residential,2,162.9,0.163
이당로,unclassified,1,161.99,0.162
정우4길,residential,1,160.5,0.161
학현로,service,1,159.02,0.159
행복마을로,residential,1,157.88,0.158
백운호수로5길,residential,1,154.02,0.154
백운안4길,residential,1,153.54,0.154
부곡중앙남2길,residential,1,152.45,0.152
백운중앙로3길,residential,1,150.9,0.151
백운중앙로5길,residential,1,148.67,0.149
백운중앙로6길,residential,1,147.28,0.147
민백1길,residential,1,146.99,0.147
시청중심로,residential,1,146.69,0.147
백운중앙로7길,residential,2,146.01,0.146
솔밭1길,service,1,143.77,0.144
등칙골4길,residential,1,141.97,0.142
장안로1길,residential,1,141.24,0.141
내손중앙1길,living_street,1,139.12,0.139
등칙골2길,residential,1,138.55,0.139
부곡중앙북3길,residential,2,137.59,0.138
경수대로,service,1,137.08,0.137
내손공원2길,residential,1,136.62,0.137
백운호수로2길,tertiary,1,136.22,0.136
부곡초등3길,service,2,135.83,0.136
전주남이3길,living_street,1,131.22,0.131
양지편1로,residential,1,131.16,0.131
부곡교,tertiary,2,128.93,0.129
포도원로,tertiary,1,127.07,0.127
솔밭길,service,3,124.66,0.125
장안남북로5길,residential,2,122.33,0.122
가나무로,tertiary_link,1,119.7,0.12
부곡중앙북2길,residential,1,118.59,0.119
오리나무3길,residential,1,114.34,0.114
부곡시장1길,residential,2,113.92,0.114
안골다리길,residential,1,113.32,0.113
한남정맥,unclassified,1,113.23,0.113
부곡시장1길,service,1,112.56,0.113
광진말안3길,residential,1,110.84,0.111
부곡초등길,service,1,109.83,0.11
내손중앙2길,living_street,1,109.46,0.109
백운중앙로1길,residential,1,109.28,0.109
백운안3길,residential,1,108.0,0.108
사근행궁길,residential,1,106.74,0.107
흥안대로,residential,1,106.47,0.106
백운안2길,residential,1,105.29,0.105
부곡초등3길,tertiary,2,105.04,0.105
향촌길,service,1,103.59,0.104
고래들길,service,1,98.85,0.099
오리나무4길,residential,1,97.52,0.098
시청중심4로,residential,1,95.93,0.096
덕영대로,secondary,4,93.24,0.093
내손중앙5길,living_street,1,91.37,0.091
의왕역회전교차로,tertiary,1,89.02,0.089
별묘길,residential,1,88.65,0.089
부곡초등2길,service,2,86.61,0.087
백운호수로6길,residential,1,83.03,0.083
광진말안2길,residential,1,78.41,0.078
내손중앙3길,living_street,1,77.11,0.077
부곡중학길,service,2,76.29,0.076
장안남북로2길,residential,1,76.2,0.076
장안남북로3길,residential,1,75.54,0.076
장안남북로4길,residential,1,74.91,0.075
부곡중앙로,service,1,69.04,0.069
광진말안1길,residential,1,67.13,0.067
모락터널,residential,1,55.37,0.055
부곡중앙남6길,service,1,49.54,0.05
옻우물교,residential,1,49.27,0.049
철도박물관로,residential,1,47.88,0.048
복합물류로,tertiary,1,43.97,0.044
철도박물관로,service,1,43.21,0.043
월암새터마을길,residential,1,43.08,0.043
입북로77번길,residential,1,40.39,0.04
학현터널,tertiary,1,39.73,0.04
도룡마을길,residential,2,31.51,0.032
고천3교,tertiary,1,25.76,0.026
송부로,tertiary,1,20.84,0.021
번영로28번길,tertiary,1,18.2,0.018
