city_kr,stop_name_kr,stop_name_en,stop_id,stop_code,stop_type,road_addr_raw,jibun_addr_raw,lon,lat
의왕시,교동,Gyodong,226000093,27042,노변정류장,경기도 의왕시,경기도 의왕시 이동,126.96465,37.3360167
의왕시,구생명교회,Former) Saengmyeong Church,226000018,27100,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9805,37.3835167
의왕시,국궁터,Archery Range,226000251,27241,노변정류장,경기도 의왕시,,127.0107167,37.3830667
의왕시,국궁터,Archery Range,226000252,27242,노변정류장,경기도 의왕시,,127.01085,37.38305
의왕시,국민은행,KB Bank,226000023,27090,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9783167,37.3899
의왕시,국민은행,KB Bank,226000345,27229,노변정류장,경기도 의왕시,,126.9781833,37.3901167
의왕시,국민체육센터,Sports Center,226000063,27076,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9756,37.3815667
의왕시,근로자복지회관,Labor Welfare Center,226000222,27218,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9661333,37.3593167
의왕시,근로자복지회관,Labor Welfare Center,226000154,27142,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9665,37.3592
의왕시,글로벌도서관.성원아파트,"Global Library, Sungwon Apartment",226000012,27053,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9689667,37.3578
의왕시,글로벌도서관.신안아파트,"Global Library, Shinan Apartment ",226000011,27054,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9689667,37.3575333
의왕시,금천마을,Geumcheon Maeul ,226000097,27014,노변정류장,경기도 의왕시,경기도 의왕시 이동,126.9530833,37.3292833
의왕시,금천마을,Geumcheon Maeul ,226000082,27013,노변정류장,경기도 의왕시,경기도 의왕시 이동,126.9527,37.3292667
의왕시,꿈마을아파트,Kkum Maeul Apartment,226000101,27008,노변정류장,경기도 의왕시,경기도 의왕시 삼동,126.9503167,37.3175333
의왕시,꿈마을아파트,Kkum Maeul Apartment,226000078,27007,노변정류장,경기도 의왕시,경기도 의왕시 삼동,126.9502,37.3174667
의왕시,남교회,Nam Church ,226000017,27092,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9787667,37.3839333
의왕시,내동.내손초등학교,"Nae-dong, Naeson Elementary School ",226000053,27107,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9805,37.3883333
의왕시,내동.내손초등학교,"Nae-dong, Naeson Elementary School ",226000060,27108,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9807167,37.3882167
의왕시,내손공영주차장,Naeson Public Parking Lot ,226000131,27089,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9776167,37.3833
의왕시,내손공영주차장,Naeson Public Garage,226000062,27086,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9778833,37.3832667
의왕시,내손순환길삼거리,Naeson Sunhwan-gil Samgeori,226000022,27101,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9805167,37.3908
의왕시,내손주공아파트,Naeson Jugong Apartment,226000200,27187,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.972,37.3776333
의왕시,내손초등학교,Naeson Elementary School ,226000021,27110,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.98245,37.3888167
의왕시,내손초등학교,Naeson Elementary School ,226000142,27146,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9823167,37.3891167
의왕시,농수산물시장.포일단지입구,"Agriculture & Fishery Market, Poil Complex",226000134,27067,노변정류장,경기도 의왕시,경기도 안양시 동안구 평촌동,126.9727667,37.3846167
의왕시,농협,Nonghyup,226000391,27231,노변정류장,경기도 의왕시,,126.9745333,37.3885
의왕시,농협삼거리.우미린아파트,Nonghyup ,226000024,27153,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9745333,37.3883
의왕시,능안삼거리,Neungan Samgeori ,226000390,27376,노변정류장,경기도 의왕시,,126.9967833,37.3727667
의왕시,능안삼거리,,226509100,,,,,126.9972,37.3730333
의왕시,능안입구,Neungan,226000264,27254,노변정류장,경기도 의왕시,,126.9989667,37.3781167
의왕시,능안입구,Neungan,226000263,27253,노변정류장,경기도 의왕시,,126.99925,37.3783167
의왕시,대림아파트1단지,Daelim Apartment 1-danji ,226000210,27119,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9814333,37.3896167
의왕시,대림아파트4단지,Daelim Apartment 4-danji ,226000052,27095,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9784167,37.3863333
의왕시,대림아파트5단지,Daelim Apartment 5-danji ,226000061,27096,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9784333,37.38605
의왕시,대명단지,Daemyeong Danji,226000220,27216,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9668333,37.36095
의왕시,대명단지,Daemyeong Danji,226000221,27217,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9667,37.36095
의왕시,대명아파트.경기중앙교회,"Daemyung Apartment, Gyeonggi Central Prebyterian Church ",226000110,27052,노변정류장,경기도 의왕시,경기도 의왕시 오전동,126.9676833,37.3608833
의왕시,대우.장미아파트,"Daewoo, Jangmi Apartment ",226000311,27301,노변정류장,경기도 의왕시,,126.95505,37.3228667
의왕시,대우.장미아파트,"Daewoo, Jangmi Apartment ",226000312,27302,노변정류장,경기도 의왕시,,126.95515,37.3227667
의왕시,대원아파트,Daewon Apartment,226000126,27058,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9705833,37.37665
의왕시,대원아파트,Daewon Apartment ,226000066,27060,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9706667,37.3763667
의왕시,덕장교회,Deokjang Church ,226000197,27192,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.9943833,37.3902333
의왕시,덕장초교,Duckjang Elementary School,226000212,27208,노변정류장,경기도 의왕시,경기도 의왕시 청계동,126.9965333,37.3912333
의왕시,덕장초교,Duckjang Elementary School,226000171,27164,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.9962167,37.3913667
의왕시,도룡마을,Doryong Maeul,226000105,27030,노변정류장,경기도 의왕시,경기도 의왕시 월암동,126.95815,37.3103
의왕시,도룡마을,Doryong Maeul ,226000074,27029,노변정류장,경기도 의왕시,경기도 의왕시 월암동,126.95785,37.3101833
의왕시,동아에코빌아파트,DongA Ecoville Apartment,226000059,27109,노변정류장,경기도 의왕시,경기도 의왕시 내손동,126.9819,37.3913667
의왕시,동아에코빌아파트,DongA Ecoville Apartment ,226000054,27111,노변정류장,경기도 의왕시,경기도 의왕시 포일동,126.9820167,37.3917167
의왕시,두산위브,Doosan Weve Apartment,226000346,27230,노변정류장,경기도 의왕시,,126.97995,37.39085
의왕시,뒷골,Dwitgol ,226000330,27320,노변정류장,경기도 의왕시,,126.9917333,37.3580667
의왕시,뒷골,Dwitgol ,226000336,27326,노변정류장,경기도 의왕시,,126.9921,37.3579667
의왕시,뒷골,Dwitgol ,226000329,27319,노변정류장,경기도 의왕시,,126.99205,37.35835
의왕시,롯데마트,Lotte Mart,226000340,27330,노변정류장,경기도 의왕시,,126.9729333,37.3800833
의왕시,롯데첨단소재,"Cheil Industries Inc., ",226000036,27040,노변정류장,경기도 의왕시,경기도 의왕시 고천동,126.9641,37.3514333
