grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag
416,126.98455272,37.3938545,164.49,132.26,660.41,230.08,586.41,0.0,0.954445,1.0,0.975215,0.864367,0.963109,38.524,690,False
261,126.9706057,37.36900508,514.95,383.15,1220.7,368.61,272.08,0.078592,0.672405,0.840926,0.885602,1.0,0.844486,38.495,691,False
251,126.97076395,37.34647133,385.19,111.5,1037.16,74.63,507.33,0.011038,0.977783,0.894402,1.0,0.900042,0.943604,38.406,692,False
422,126.98777534,37.33080422,907.25,365.08,3169.17,455.21,1721.35,0.282821,0.692721,0.273218,0.829581,0.352424,0.535908,38.406,693,False
516,126.99305587,37.38938439,345.27,150.59,921.25,136.23,324.61,0.0,0.933841,0.928171,1.0,0.98246,0.958997,38.36,694,False
146,126.95965161,37.32163311,177.14,190.31,765.13,241.97,128.0,0.0,0.889196,0.973661,0.967525,1.0,0.958878,38.355,695,False
239,126.96778238,37.36899241,398.53,185.25,1149.35,163.93,105.01,0.017982,0.894875,0.861714,1.0,1.0,0.930575,38.302,696,False
677,127.00713214,37.3962042,725.92,304.94,2336.83,574.88,806.8,0.188419,0.760332,0.515727,0.752172,0.764958,0.672966,38.224,697,False
843,127.02404984,37.40078038,1190.41,549.95,3915.71,780.1,2385.56,0.430231,0.484896,0.055704,0.619419,0.052811,0.310223,38.223,698,False
252,126.97074813,37.34872471,258.92,169.84,787.21,220.29,432.3,0.0,0.912208,0.967228,0.981545,0.933885,0.955517,38.221,699,False
519,126.99301035,37.3961445,660.86,582.86,1273.64,640.26,565.07,0.154549,0.447899,0.825501,0.709879,0.873997,0.722568,38.176,700,False
166,126.96248921,37.31939258,478.68,418.49,896.1,341.06,452.64,0.059705,0.632682,0.9355,0.903423,0.924711,0.863695,38.13,701,False
120,126.95692734,37.30809988,615.13,185.56,1124.14,944.98,747.21,0.130743,0.894527,0.869057,0.512761,0.791835,0.755679,38.072,702,False
103,126.95407371,37.31259367,358.56,87.67,573.46,414.12,364.46,0.0,1.0,1.0,0.856163,0.964485,0.951522,38.061,703,False
189,126.96535856,37.31264519,684.9,632.3,1257.02,635.86,772.55,0.167064,0.392325,0.830342,0.712723,0.780407,0.699962,38.022,704,False
492,126.99327397,37.33551267,1176.39,1013.65,3024.11,1007.2,1560.17,0.422932,0.0,0.315481,0.472517,0.425129,0.315943,38.014,705,False
856,127.02697351,37.38501805,1353.87,808.63,3926.94,1185.18,2334.33,0.515326,0.1941,0.052433,0.357386,0.075921,0.175775,37.951,706,False
