grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_school_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_road_m,nearest_road_way_id,nearest_road_name,nearest_road_highway,nearest_road_vol_mean,score_cctv_gap_0_1,score_school_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_road_proximity_0_1,score_traffic_0_1,total_score_equal_0_100,total_score_weighted_0_100,min_cctv_gap_m,max_road_dist_m
332,126.97921584,37.34876229,226.45,141.44,88.62,1099.63,390.25,73.75,378314642,당뿌리로,residential,0.0,0.035788,1.0,1.0,0.876199,0.871605,0.587228,0.5,69.583,75.263,200.0,150.0
395,126.98487638,37.34653363,415.97,415.85,84.05,1638.04,146.24,1.8,475582906,,service,0.0,0.179155,0.941306,1.0,0.719327,1.0,1.0,0.5,76.283,75.125,200.0,150.0
515,126.99307105,37.38713102,388.72,479.45,305.97,917.0,263.21,66.53,1460166815,,unclassified,0.0,0.158542,0.912617,0.759171,0.92941,0.953785,0.631026,0.5,69.208,74.993,200.0,150.0
230,126.96792557,37.34871205,465.71,682.19,200.25,820.48,373.59,123.89,167982107,시청로,tertiary,0.0,0.216784,0.821165,0.878022,0.957532,0.882383,0.28318,0.5,64.844,74.916,200.0,150.0
57,126.945577,37.31706109,449.33,416.28,147.87,627.21,597.63,12.07,488597569,,footway,0.0,0.204391,0.94111,0.936902,1.0,0.737458,0.961314,0.5,75.445,74.914,200.0,150.0
300,126.97644021,37.34198969,478.19,504.9,108.68,1621.94,107.23,13.57,885808225,,service,0.0,0.226225,0.901134,0.980954,0.724019,1.0,0.952218,0.5,75.494,74.864,200.0,150.0
548,126.99589506,37.38714309,209.06,572.09,171.16,1165.6,122.02,8.79,1460166815,,unclassified,0.0,0.02263,0.870828,0.910723,0.856978,1.0,0.981207,0.5,73.462,74.673,200.0,150.0
240,126.96776646,37.37124578,644.75,157.88,187.05,1395.78,396.07,89.05,1230236681,,path,0.0,0.352227,1.0,0.892853,0.789913,0.867838,0.494445,0.5,69.961,74.66,200.0,150.0
329,126.97926253,37.34200215,379.31,370.04,84.64,1718.19,101.18,0.82,58858271,,trunk_link,0.0,0.151426,0.96197,1.0,0.695974,1.0,1.0,0.5,75.848,74.646,200.0,150.0
229,126.96794147,37.34645867,478.52,732.04,253.79,1062.63,215.8,56.38,947147030,안골로,tertiary,0.0,0.226476,0.798679,0.817826,0.886978,0.984454,0.6926,0.5,70.1,74.607,200.0,150.0
273,126.97360216,37.34423055,252.03,547.15,62.32,1314.61,243.82,19.84,682100873,오봉로,tertiary,0.0,0.055138,0.882077,1.0,0.813564,0.966325,0.914191,0.5,73.304,74.591,200.0,150.0
612,127.00151326,37.39167378,291.3,294.82,15.69,1705.79,148.68,21.82,41888498,청계로,tertiary,0.0,0.084841,0.9959,1.0,0.699589,1.0,0.902141,0.5,74.035,74.588,200.0,150.0
334,126.97918471,37.35326905,315.82,347.31,127.39,819.87,552.53,56.67,544300753,,path,0.0,0.103391,0.972222,0.959925,0.95771,0.766627,0.690809,0.5,70.724,74.456,200.0,150.0
346,126.97899776,37.38030954,461.26,483.6,331.57,342.85,421.08,37.93,58858252,수도권제1순환고속도로,motorway,15.786,0.213419,0.910746,0.730389,1.0,0.851659,0.804447,0.5,71.581,74.385,200.0,150.0
181,126.96258524,37.35318689,630.57,739.06,78.23,503.13,651.13,22.49,480981880,한밭들길,residential,0.0,0.341501,0.795511,1.0,1.0,0.702851,0.898126,0.5,74.828,74.277,200.0,150.0
180,126.96249541,37.3509515,776.3,510.04,146.85,709.96,760.66,44.82,377854668,오봉산길,residential,0.0,0.451737,0.898817,0.938052,0.989733,0.631995,0.762714,0.5,73.901,74.012,200.0,150.0
109,126.95397591,37.32611397,380.02,562.95,342.29,948.82,242.33,57.04,51066041,영동고속도로,motorway,1.658,0.151959,0.874952,0.718345,0.920139,0.967293,0.688609,0.5,68.876,74.004,200.0,150.0
260,126.97062153,37.36675171,365.1,289.87,331.81,993.93,361.77,63.89,1230236678,,path,0.0,0.140674,0.998133,0.730126,0.906996,0.89003,0.647011,0.5,68.757,73.701,200.0,150.0
